"","state","regiao","date","casosNovos","obitosNovos","confirmed","deaths","city","estimated_population_2019","city_ibge_code","death_rate"
"1","AC","Norte","2020-05-10",112,2,1447,41,0,881935,12,0.041
"2","AL","Nordeste","2020-05-10",86,12,2258,126,0,3337357,27,0.0905
"3","AM","Norte","2020-05-10",674,42,12599,1004,0,4144597,13,0.085
"4","AP","Norte","2020-05-10",120,3,2613,72,0,845731,16,0.0279
"5","BA","Nordeste","2020-05-10",384,6,5558,202,0,14873064,29,0.0319
"6","CE","Nordeste","2020-05-10",813,52,16692,1114,0,9132078,23,0.06
"7","DF","Centro-Oeste","2020-05-10",106,3,2682,42,0,3015268,53,0.0263
"8","ES","Sudeste","2020-05-10",187,9,4599,181,0,4018650,32,0.0259
"9","GO","Centro-Oeste","2020-05-10",24,0,1093,47,0,7018354,52,0.0451
"10","MA","Nordeste","2020-05-10",834,24,7599,379,0,7075181,21,0.0411
"11","MG","Sudeste","2020-05-10",114,1,3237,119,0,21168791,31,0.0358
"12","MS","Centro-Oeste","2020-05-10",16,0,362,11,0,2778986,50,0.0347
"13","MT","Centro-Oeste","2020-05-10",17,2,519,18,0,3484466,51,0.0331
"14","PA","Norte","2020-05-10",481,74,7256,652,0,8602865,15,0.037
"15","PB","Nordeste","2020-05-10",185,11,2341,135,0,4018127,25,0.1296
"16","PE","Nordeste","2020-05-10",805,75,13275,1047,0,9557071,26,0.0894
"17","PI","Nordeste","2020-05-10",45,4,1278,42,0,3273227,22,0.0728
"18","PR","Sul","2020-05-10",50,2,1835,109,0,11433957,41,0.0529
"19","RJ","Sudeste","2020-05-10",133,61,17062,1714,0,17264943,33,0.0869
"20","RN","Nordeste","2020-05-10",9,1,1928,88,0,3506853,24,0.0449
"21","RO","Norte","2020-05-10",39,2,1302,43,0,1777225,11,0.0224
"22","RR","Norte","2020-05-10",88,3,1290,21,0,605761,14,0.0107
"23","RS","Sul","2020-05-10",49,2,2542,97,0,11377239,43,0.0294
"24","SC","Sul","2020-05-10",57,1,3429,65,0,7164788,42,0.0339
"25","SE","Nordeste","2020-05-10",183,1,1771,34,0,2298696,28,0.0598
"26","SP","Sudeste","2020-05-10",1033,101,45444,3709,0,45919049,35,0.071
"27","TO","Norte","2020-05-10",116,2,688,11,0,1572866,17,0.0556
